state_code,state_name,abbrv,emplvl_total,fatals_total,expect_fatals_sum,residual,fatals_per_100k_adj
56,Wyoming,WY,2650654,322,158.999742229335110434433505,163.000257770664889565566495,6.1494354891534274019
55,Wisconsin,WI,26901059,728,900.541848570952545297616369,-172.541848570952545297616369,-0.6413942609878389743
54,West Virginia,WV,6957791,514,295.386716806004445518872307,218.613283193995554481127693,3.1419926697136426559
53,Washington,WA,27362441,690,976.064874954823900349292882,-286.064874954823900349292882,-1.045465479321906625
51,Virginia,VA,35616196,1307,1244.706719446060882443706726,62.293280553939117556293274,0.1749015547700240575
50,Vermont,VT,2959306,78,93.636104400798370272151286,-15.636104400798370272151286,-0.5283706517946562563
49,Utah,UT,11496274,494,452.733278095891026956954487,41.266721904108973043045513,0.3589573622210898335
48,Texas,TX,99594239,4593,4014.422158441758899348239221,578.577841558241100651760779,0.5809350494241349649
47,Tennessee,TN,26433376,1117,963.721580707159058717693824,153.278419292840941282306176,0.57986698064159849
46,South Dakota,SD,3818656,177,126.276387861706362993973229,50.723612138293637006026771,1.3283105924779199018
45,South Carolina,SC,17994925,888,627.044700786279216625666311,260.955299213720783374333689,1.4501605270025898045
42,Pennsylvania,PA,55260826,1922,1882.762930073379234201179231,39.237069926620765798820769,0.0710034083215129028
41,Oregon,OR,15910906,463,557.885619905794647283008753,-94.885619905794647283008753,-0.5963558574589947756
40,Oklahoma,OK,14843858,883,598.272030684562759411184721,284.727969315437240588815279,1.9181534161498799072
39,Ohio,OH,51469758,1494,1688.125086451332785008634357,-194.125086451332785008634357,-0.3771633945730477012
38,North Dakota,ND,3457915,208,136.609230588305691641187851,71.390769411694308358812149,2.0645611419509822641
37,North Carolina,NC,38489669,1420,1310.867163747017553018111619,109.132836252982446981888381,0.2835379962685115504
36,New York,NY,83906927,1994,2636.470019788420492504559185,-642.470019788420492504559185,-0.7656936593428341053
35,New Mexico,NM,7766620,454,309.855782907892178460724131,144.144217092107821539275869,1.8559452772519811905
34,New Jersey,NJ,38397544,964,1297.435767991796240875563976,-333.435767991796240875563976,-0.8683778524787841662
33,New Hampshire,NH,6130479,117,189.386924944351972449759387,-72.386924944351972449759387,-1.1807711101261740306
32,Nevada,NV,11722182,464,479.46909322221304401053755,-15.46909322221304401053755,-0.131964281242289567
31,Nebraska,NE,8900883,334,314.7935443115663089671756,19.2064556884336910328244,0.2157814644730606057
30,Montana,MT,4160070,289,163.02568092766106694748788,125.97431907233893305251212,3.0281778689382374107
29,Missouri,MO,26303854,1141,907.471006797545582319832912,233.528993202454417680167088,0.8878128399072410365
28,Mississippi,MS,10877847,726,382.248089354161915377100871,343.751910645838084622899129,3.1601098144314595032
27,Minnesota,MN,26051205,502,851.642608828592022267435704,-349.642608828592022267435704,-1.3421360310534273646
26,Michigan,MI,40488332,1116,1283.004461543043991803852625,-167.004461543043991803852625,-0.412475528858644984
25,Massachusetts,MA,31764291,606,955.119904319194779681183142,-349.119904319194779681183142,-1.0990955356730448656
24,Maryland,MD,24860089,763,875.213041264016050296076427,-112.213041264016050296076427,-0.4513782764977874789
23,Maine,ME,5868389,146,185.144598650420425644272347,-39.144598650420425644272347,-0.6670416472122148965
22,Louisiana,LA,18425979,1127,791.175013019008638709016204,335.824986980991361290983796,1.8225625188273109466
21,Kentucky,KY,17415400,930,655.965593513696962392256484,274.034406486303037607743516,1.5735177284834286758
20,Kansas,KS,13080140,614,456.131961886081007511190823,157.868038113918992488809177,1.2069292692120955318
19,Iowa,IA,14381255,564,490.971653520333294490773857,73.028346479666705509226143,0.5078023196144335492
18,Indiana,IN,28072385,1127,1003.326578484484797402202175,123.673421515515202597797825,0.4405518858319847159
17,Illinois,IL,56777383,1661,1952.754152122654936289181349,-291.754152122654936289181349,-0.5138562869702094869
16,Idaho,ID,5963551,235,218.85867285034005593260628,16.14132714965994406739372,0.2706663722614251822
15,Hawaii,HI,5931522,202,213.898723882376058886558494,-11.898723882376058886558494,-0.2006015299677900358
13,Georgia,GA,38622530,1531,1371.425993897619248141837556,159.574006102380751858162444,0.4131630064171890134
12,Florida,FL,73944271,2916,2668.218019548000436280218766,247.781980451999563719781234,0.335092870753975739
09,Connecticut,CT,16347656,393,492.734400776280569183243786,-99.734400776280569183243786,-0.6100837990246465254
08,Colorado,CO,22010121,956,821.943744671241952679478656,134.056255328758047320521344,0.6090664168941099748
06,California,CA,146374411,3902,5105.655976294655795054574033,-1203.655976294655795054574033,-0.8223131133860930071
05,Arkansas,AR,11327985,707,410.067910356830086796566268,296.932089643169913203433732,2.6212260136570618093
04,Arizona,AZ,24259488,804,922.226169292512008409054335,-118.226169292512008409054335,-0.4873399195090679919
02,Alaska,AK,3094234,238,153.364462462503224741658794,84.635537537496775258341206,2.7352662254211147334
01,Alabama,AL,18543188,944,651.985527262938186120376421,292.014472737061813879623579,1.5747803060458741716
72,Puerto Rico,PR,9804887,245,348.285903406495226225195035,-103.285903406495226225195035,-1.0534124810055967624
44,Rhode Island,RI,4645258,83,140.438859048376374031273374,-57.438859048376374031273374,-1.2365052500501882572
10,Delaware,DE,4102909,105,126.382712407006165409072187,-21.382712407006165409072187,-0.5211598016676988305
11,District of Columbia,DC,,,,,
